service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4003,0,0,0,0,0,1,1,20180901,20200101
3902,1,1,1,1,1,0,0,20180827,20200101
4112,1,1,1,1,1,0,0,20181001,20200101
4004,0,0,0,0,0,1,1,20180901,20200101
3905,0,0,0,1,0,0,0,20180712,20200101
3907,0,0,0,0,0,1,0,20180706,20200101
3906,0,0,0,0,1,0,0,20180705,20200101
3908,0,0,0,1,0,0,0,20180712,20200101
3910,0,0,0,0,0,1,0,20180706,20200101
3909,0,0,0,0,1,0,0,20180705,20200101
4183,1,1,1,1,1,0,0,20181203,20200101
3912,1,1,1,1,1,0,0,20180827,20200101
4154,1,1,1,1,1,0,0,20181102,20200101
4005,0,0,0,0,0,1,1,20180901,20200101
4184,1,1,1,1,1,0,0,20181203,20200101
4221,1,1,1,1,1,0,0,20190102,20200101
4225,1,1,1,1,1,0,0,20190102,20200101
4011,0,0,0,0,0,1,1,20180901,20200101
4026,0,0,0,0,0,1,1,20180901,20200101
4226,1,1,1,1,1,0,0,20180827,20200101
3918,1,1,1,1,1,0,0,20180827,20200101
4008,0,0,0,0,0,1,1,20180901,20200101
4114,1,1,1,1,1,0,0,20181001,20200101
4157,1,1,1,1,1,0,0,20181102,20200101
4009,0,0,0,0,0,1,1,20180901,20200101
3922,1,1,1,1,1,0,0,20180827,20200101
4010,0,0,0,0,0,1,1,20180901,20200101
3923,1,1,1,1,1,0,0,20180827,20200101
3925,1,1,1,1,1,0,0,20180827,20200101
4012,0,0,0,0,0,1,1,20180901,20200101
3926,1,1,1,1,1,0,0,20180827,20200101
4013,0,0,0,0,0,1,1,20180901,20200101
3927,1,1,1,1,1,0,0,20180827,20200101
4139,1,1,1,1,1,0,0,20181029,20200101
4129,0,0,0,0,0,1,1,20181027,20200101
4222,1,1,1,1,1,0,0,20190102,20200101
4223,0,0,0,0,0,1,1,20190105,20200101
3931,1,1,1,1,1,0,0,20180827,20200101
3932,1,1,1,1,1,0,0,20180827,20200101
4016,0,0,0,0,0,1,1,20180901,20200101
3935,0,0,0,0,0,1,0,20170902,20200101
3934,0,0,0,0,1,0,0,20170901,20200101
3933,0,0,0,1,0,0,0,20170831,20200101
4140,1,1,1,1,1,0,0,20181029,20200101
4017,0,0,0,0,0,1,1,20180901,20200101
4187,0,0,0,0,0,1,1,20181208,20200101
4186,1,1,1,1,1,0,0,20181203,20200101
4043,0,0,0,0,0,0,1,20180902,20200101
4045,0,0,0,0,0,1,0,20180901,20200101
3939,1,1,1,1,1,0,0,20180827,20200101
3940,1,1,1,1,1,0,0,20180827,20200101
4188,1,1,1,1,1,0,0,20181203,20200101
3942,1,1,1,1,1,0,0,20180827,20200101
4019,0,0,0,0,0,1,1,20180901,20200101
4236,0,0,0,0,0,1,1,20190126,20200101
4235,1,1,1,1,1,0,0,20190123,20200101
4189,1,1,1,1,1,0,0,20181203,20200101
4021,0,0,0,0,0,1,1,20180901,20200101
4046,0,0,0,0,0,1,0,20180901,20200101
3945,1,1,1,1,1,0,0,20180827,20200101
4044,0,0,0,0,0,0,1,20180902,20200101
4117,1,1,1,1,1,0,0,20181001,20200101
4022,0,0,0,0,0,1,1,20180901,20200101
4168,1,1,1,1,1,0,0,20181105,20200101
4023,0,0,0,0,0,1,1,20180901,20200101
3950,1,1,1,1,1,0,0,20180827,20200101
3953,0,0,0,0,0,1,1,20180609,20200101
4025,0,0,0,0,0,1,1,20180901,20200101
3954,1,1,1,1,1,0,0,20180827,20200101
4191,0,0,0,0,0,1,1,20181208,20200101
4190,1,1,1,1,1,0,0,20181203,20200101
4229,1,1,1,1,1,0,0,20190112,20200101
4234,0,0,0,0,0,1,1,20190112,20200101
4231,1,1,1,1,1,0,0,20190112,20200101
4232,0,0,0,0,0,1,0,20190112,20200101
4233,0,0,0,0,0,0,1,20190112,20200101
4248,1,1,1,1,1,0,0,20190123,20200101
4249,0,0,0,0,0,1,0,20190123,20200101
4167,0,0,0,0,0,0,1,20181105,20200101
4255,1,1,1,1,1,0,0,20190123,20200101
4250,1,1,1,1,1,0,0,20190123,20200101
4251,0,0,0,0,0,1,0,20190123,20200101
4252,0,0,0,0,0,0,1,20190123,20200101
4253,1,1,1,1,1,0,0,20190123,20200101
4254,0,0,0,0,0,1,1,20190123,20200101
4256,0,0,0,0,0,1,0,20190123,20200101
4257,0,0,0,0,0,0,1,20190123,20200101
3956,1,1,1,1,1,0,0,20180827,20200101
3957,0,0,0,0,0,1,1,20180706,20200101
3958,1,1,1,1,1,0,0,20180827,20200101
3959,1,1,1,1,1,0,0,20180827,20200101
3960,0,0,0,0,0,1,1,20180706,20200101
4192,1,1,1,1,1,0,0,20181203,20200101
4133,0,0,0,0,0,1,1,20181027,20200101
4193,1,1,1,1,1,0,0,20181203,20200101
4033,0,0,0,0,0,1,1,20180901,20200101
4034,0,0,0,0,0,1,1,20180901,20200101
3965,1,1,1,1,1,0,0,20180827,20200101
4049,0,0,0,0,0,1,1,20180908,20200101
4048,1,1,1,1,1,0,0,20180903,20200101
3969,1,1,1,1,1,0,0,20180827,20200101
4036,0,0,0,0,0,1,1,20180901,20200101
3971,1,1,1,1,1,0,0,20180827,20200101
3972,0,0,0,0,0,1,1,20180706,20200101
4051,0,0,0,0,0,1,1,20180908,20200101
4050,1,1,1,1,1,0,0,20180903,20200101
4194,1,1,1,1,1,0,0,20181203,20200101
3976,0,0,0,0,0,1,1,20180706,20200101
3977,1,1,1,1,1,0,0,20180827,20200101
3978,0,0,0,0,0,1,1,20180706,20200101
3979,1,1,1,1,1,0,0,20180827,20200101
4041,0,0,0,0,0,1,1,20170610,20200101
4195,1,1,1,1,1,0,0,20181203,20200101
4042,0,0,0,0,0,1,1,20180901,20200101
