service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13234,1,1,1,1,1,0,0,20190301,20200301
13235,0,0,0,0,0,1,0,20190301,20200301
13236,0,0,0,0,0,0,1,20190301,20200301
12809,0,0,0,0,0,1,0,20190110,20200301
12808,1,1,1,1,1,0,0,20181101,20200301
12810,0,0,0,0,0,0,1,20181101,20200301
13024,1,1,1,1,1,0,0,20181208,20200301
13025,0,0,0,0,0,1,0,20181208,20200301
13026,0,0,0,0,0,0,1,20181208,20200301
13225,1,1,1,1,1,0,0,20190301,20200301
13226,0,0,0,0,0,1,0,20190301,20200301
13227,0,0,0,0,0,0,1,20190301,20200301
13027,1,1,1,1,1,0,0,20181208,20200301
13028,0,0,0,0,0,1,0,20181208,20200301
13029,0,0,0,0,0,0,1,20181208,20200301
13228,1,1,1,1,1,0,0,20190301,20200301
13229,0,0,0,0,0,1,0,20190301,20200301
13230,0,0,0,0,0,0,1,20190301,20200301
11951,1,1,1,1,1,0,0,20180414,20200301
11952,0,0,0,0,0,1,1,20180414,20200301
13314,1,1,1,1,1,0,0,20190323,20200301
13315,0,0,0,0,0,1,0,20190323,20200301
13316,0,0,0,0,0,0,1,20190323,20200301
13237,1,1,1,1,1,0,0,20190301,20200301
13238,0,0,0,0,0,1,0,20190301,20200301
13239,0,0,0,0,0,0,1,20190301,20200301
12814,1,1,1,1,1,0,0,20181101,20200301
12815,0,0,0,0,0,1,0,20181101,20200301
12816,0,0,0,0,0,0,1,20181101,20200301
13231,1,1,1,1,1,0,0,20190301,20200301
13232,0,0,0,0,0,1,0,20190301,20200301
13233,0,0,0,0,0,0,1,20190301,20200301
13319,0,0,0,0,0,1,0,20190323,20200301
13324,0,0,0,0,0,0,1,20190323,20200301
13240,1,1,1,1,1,0,0,20190301,20200301
12730,0,0,0,0,0,0,1,20181001,20200301
11852,1,1,1,1,1,0,0,20180310,20200301
11853,0,0,0,0,0,1,0,20180310,20200301
13033,1,1,1,1,1,0,0,20181208,20200301
12732,0,0,0,0,0,0,1,20181001,20200301
12367,0,0,0,0,0,1,0,20180804,20200301
13242,1,1,1,1,1,0,0,20190301,20200301
13243,0,0,0,0,0,1,0,20190301,20200301
13244,0,0,0,0,0,0,1,20190301,20200301
12009,0,0,0,0,0,1,1,20181217,20200301
12756,1,1,1,1,1,0,0,20181020,20200301
13336,1,1,1,1,1,0,0,20181208,20200301
13335,0,0,0,0,0,1,0,20181208,20200301
13036,0,0,0,0,0,0,1,20181208,20200301
12757,1,1,1,1,1,0,0,20181020,20200301
12758,0,0,0,0,0,1,0,20181020,20200301
12759,0,0,0,0,0,0,1,20181020,20200301
12760,1,1,1,1,1,0,0,20181020,20200301
12273,0,0,0,0,0,1,0,20180701,20200301
12274,0,0,0,0,0,0,1,20180701,20200301
12275,1,1,1,1,1,1,0,20180701,20200301
12276,0,0,0,0,0,0,1,20180701,20200301
13037,1,1,1,1,1,0,0,20181208,20200301
13038,0,0,0,0,0,1,0,20181208,20200301
13039,0,0,0,0,0,0,1,20181208,20200301
12502,1,1,1,1,1,0,0,20180901,20200301
13337,0,0,0,0,0,1,0,20180901,20200301
13338,0,0,0,0,0,0,1,20180901,20200301
13040,1,1,1,1,1,0,0,20181208,20200301
13041,0,0,0,0,0,1,0,20181208,20200301
13042,0,0,0,0,0,0,1,20181208,20200301
13043,1,1,1,1,1,0,0,20181208,20200301
13044,0,0,0,0,0,1,0,20181208,20200301
13045,0,0,0,0,0,0,1,20181208,20200301
13245,1,1,1,1,1,0,0,20190301,20200301
13285,0,0,0,0,0,1,0,20190301,20200301
13246,0,0,0,0,0,1,0,20190301,20200301
13247,0,0,0,0,0,0,1,20190301,20200301
13248,1,1,1,1,1,0,0,20190301,20200301
13249,0,0,0,0,0,1,0,20190301,20200301
